year,country,INPARTY,OUTPARTY
2008,Austria,7.274080753326416,2.9612233638763428
2013,Austria,7.467514991760254,3.067929744720459
1991,Belgium,9.892718315124512,5.878386497497559
1999,Belgium,7.632241725921631,4.117343902587891
2003,Belgium,7.610570430755615,4.358853816986084
1971,Denmark,9.367460250854492,5.383879661560059
1973,Denmark,9.44422721862793,5.524738788604736
1975,Denmark,9.015742301940918,4.520229816436768
1977,Denmark,8.945328712463379,4.646390438079834
1979,Denmark,8.88060474395752,4.528299808502197
1994,Denmark,8.0410308837890625,3.944162368774414
1998,Denmark,8.507545471191406,3.599194288253784
2001,Denmark,8.232488632202148,3.7572832107543945
2005,Denmark,8.270898818969727,4.03237771987915
2007,Denmark,8.89881420135498,4.211793422698975
2011,Denmark,8.50049114227295,3.8735764026641846
1991,Finland,8.937284469604492,5.285212993621826
2003,Finland,7.474026203155518,4.010634422302246
2007,Finland,8.083513259887695,4.3799848556518555
2011,Finland,8.13842487335205,4.0356059074401855
2015,Finland,7.860465049743652,4.095374584197998
2019,Finland,8.118446350097656,3.8808035850524902
1967,France,7.178701400756836,4.242260456085205
1978,France,9.661637306213379,4.953073024749756
2007,France,7.564451217651367,2.9868483543395996
2012,France,7.818411827087402,3.381587028503418
2017,France,7.5151686668396,2.936896562576294
1961,Germany,8.419496536254883,4.549076080322266
1965,Germany,8.75318431854248,4.833333492279053
1969,Germany,8.9059476852417,5.263455867767334
1972,Germany,8.975062370300293,5.505818843841553
1976,Germany,8.7908935546875,5.278903007507324
1980,Germany,8.896169662475586,5.601515293121338
1983,Germany,8.688118934631348,4.924257278442383
1987,Germany,8.272727012634277,4.636776924133301
1990,Germany,8.647385597229004,5.669265270233154
1994,Germany,7.891613483428955,3.6731648445129395
1998,Germany,7.854822158813477,3.2464656829833984
2002,Germany,7.83444356918335,3.768200159072876
2005,Germany,8.015085220336914,4.076963901519775
2009,Germany,7.350214958190918,3.763662576675415
2013,Germany,7.844845771789551,3.9086709022521973
2017,Germany,8.43708324432373,4.40499210357666
1985,Greece,8.713052749633789,2.8949472904205322
1989,Greece,7.760776042938232,2.8432388305664062
1996,Greece,7.941675662994385,2.597201347351074
2004,Greece,8.742658615112305,1.6577657461166382
2009,Greece,7.5777997970581055,3.174353837966919
2012,Greece,6.8895463943481445,2.224900960922241
2015,Greece,6.679385662078857,2.0658438205718994
2002,Ireland,8.104092597961426,4.4133195877075195
2007,Ireland,8.336175918579102,4.017521858215332
2011,Ireland,7.601325035095215,3.1685144901275635
2016,Ireland,7.643574237823486,3.4242043495178223
1968,Italy,7.477872371673584,2.202948808670044
1972,Italy,7.960960865020752,2.9172770977020264
1975,Italy,6.766773223876953,2.735973596572876
