year,iso3c,neighbors
1970,USA,"CAN, MEX"
1970,CAN,USA
1970,CUB,
1970,HTI,DOM
1970,DOM,HTI
1970,JAM,
1970,TTO,VEN
1970,BRB,
1970,MEX,"USA, GTM"
1970,GTM,"MEX, HND, SLV"
1970,HND,"GTM, SLV, NIC"
1970,SLV,"GTM, HND, NIC"
1970,NIC,"HND, SLV, CRI"
1970,CRI,"NIC, PAN"
1970,PAN,"CRI, COL"
1970,COL,"PAN, VEN, ECU, PER, BRA"
1970,VEN,"TTO, COL, GUY, BRA"
1970,GUY,"VEN, BRA"
1970,ECU,"COL, PER"
1970,PER,"COL, ECU, BRA, BOL, CHL"
1970,BRA,"COL, VEN, GUY, PER, BOL, PRY, ARG, URY"
1970,BOL,"PER, BRA, PRY, CHL, ARG"
1970,PRY,"BRA, BOL, ARG"
1970,CHL,"PER, BOL, ARG"
1970,ARG,"BRA, BOL, PRY, CHL, URY"
1970,URY,"BRA, ARG"
1970,GBR,IRL
1970,IRL,GBR
1970,NLD,"BEL, DEU"
1970,BEL,"NLD, LUX, FRA, DEU"
1970,LUX,"BEL, FRA, DEU"
1970,FRA,"BEL, LUX, CHE, ESP, DEU, ITA"
1970,CHE,"FRA, DEU, AUT, ITA"
1970,ESP,"FRA, PRT, MAR"
1970,PRT,ESP
1970,DEU,"NLD, BEL, LUX, FRA, CHE, AUT, DNK"
1970,POL,RUS
1970,AUT,"CHE, DEU, HUN, ITA"
1970,HUN,"AUT, ROU, RUS"
1970,ITA,"FRA, CHE, AUT"
1970,MLT,
1970,ALB,GRC
1970,GRC,"ALB, BGR, TUR"
1970,CYP,
1970,BGR,"GRC, ROU, TUR"
1970,ROU,"HUN, BGR, RUS"
1970,RUS,"POL, HUN, ROU, FIN, NOR, IRN, TUR, AFG, CHN, MNG, PRK, PAK"
1970,FIN,"RUS, SWE, NOR"
1970,SWE,"FIN, NOR, DNK"
1970,NOR,"RUS, FIN, SWE"
1970,DNK,"DEU, SWE"
1970,ISL,
1970,GNQ,"CMR, GAB"
1970,GMB,SEN
1970,MLI,"SEN, MRT, NER, CIV, GIN, BFA, DZA"
1970,SEN,"GMB, MLI, MRT, GIN"
1970,BEN,"NER, BFA, GHA, TGO, NGA"
1970,MRT,"MLI, SEN, MAR, DZA"
1970,NER,"MLI, BEN, BFA, NGA, TCD, DZA, LBY"
1970,CIV,"MLI, GIN, BFA, LBR, GHA"
1970,GIN,"MLI, SEN, CIV, LBR, SLE"
1970,BFA,"MLI, BEN, NER, CIV, GHA, TGO"
1970,LBR,"CIV, GIN, SLE"
1970,SLE,"GIN, LBR"
1970,GHA,"BEN, CIV, BFA, TGO"
1970,TGO,"BEN, BFA, GHA"
1970,CMR,"GNQ, NGA, GAB, CAF, TCD, COG"
1970,NGA,"BEN, NER, CMR, TCD"
1970,GAB,"GNQ, CMR, COG"
1970,CAF,"CMR, TCD, COG, COD, SDN"
1970,TCD,"NER, CMR, NGA, CAF, LBY, SDN"
1970,COG,"CMR, GAB, CAF, COD"
1970,COD,"CAF, COG, UGA, TZA, BDI, RWA, ZMB, SDN"
1970,UGA,"COD, KEN, TZA, RWA, SDN"
1970,KEN,"UGA, TZA, SOM, ETH, SDN"
1970,TZA,"COD, UGA, KEN, BDI, RWA, ZMB, MWI"
1970,BDI,"COD, TZA, RWA"
1970,RWA,"COD, UGA, TZA, BDI"
1970,SOM,"KEN, ETH"
1970,ETH,"KEN, SOM, SDN"
1970,ZMB,"COD, TZA, ZWE, MWI, BWA"
1970,ZWE,"ZMB, ZAF, BWA"
1970,MWI,"TZA, ZMB"
1970,ZAF,"ZWE, LSO, BWA, SWZ"
1970,LSO,ZAF
1970,BWA,"ZMB, ZWE, ZAF"
1970,SWZ,ZAF
1970,MDG,
1970,MUS,
1970,MAR,"ESP, MRT, DZA"
1970,DZA,"MLI, MRT, NER, MAR, TUN, LBY"
1970,TUN,"DZA, LBY"
1970,LBY,"NER, TCD, DZA, TUN, SDN, EGY"
1970,SDN,"CAF, TCD, COD, UGA, KEN, ETH, LBY, EGY"
1970,IRN,"RUS, TUR, IRQ, KWT, AFG, PAK"
1970,TUR,"GRC, BGR, RUS, IRN, IRQ, SYR"
1970,IRQ,"IRN, TUR, SYR, JOR, SAU, KWT"
1970,EGY,"LBY, SDN, ISR"
1970,SYR,"TUR, IRQ, LBN, JOR, ISR"
1970,LBN,"SYR, ISR"
1970,JOR,"IRQ, SYR, ISR, SAU"
1970,ISR,"EGY, SYR, LBN, JOR, SAU"
1970,SAU,"IRQ, JOR, ISR, KWT, OMN"
1970,KWT,"IRN, IRQ, SAU"
1970,OMN,SAU
1970,AFG,"RUS, IRN, CHN, PAK"
1970,CHN,"RUS, AFG, MNG, PRK, IND, BTN, PAK, MMR, NPL, LAO"
1970,MNG,"RUS, CHN"
1970,TWN,
1970,PRK,"RUS, CHN, KOR"
1970,KOR,PRK
1970,JPN,
1970,IND,"CHN, BTN, PAK, MMR, LKA, NPL"
1970,BTN,"CHN, IND"
1970,PAK,"RUS, IRN, AFG, CHN, IND, MMR, NPL"
1970,MMR,"CHN, IND, PAK, THA, LAO"
1970,LKA,IND
1970,MDV,
1970,NPL,"CHN, IND, PAK"
1970,THA,"MMR, KHM, LAO, MYS"
1970,KHM,"THA, LAO, VNM"
1970,LAO,"CHN, MMR, THA, KHM, VNM"
1970,VNM,"KHM, LAO"
1970,MYS,"THA, SGP, IDN"
1970,SGP,"MYS, IDN"
1970,PHL,
1970,IDN,"MYS, SGP"
1970,AUS,
1970,NZL,
1971,USA,"CAN, MEX"
1971,CAN,USA
1971,CUB,
1971,HTI,DOM
1971,DOM,HTI
1971,JAM,
1971,TTO,VEN
1971,BRB,
1971,MEX,"USA, GTM"
1971,GTM,"MEX, HND, SLV"
1971,HND,"GTM, SLV, NIC"
1971,SLV,"GTM, HND, NIC"
1971,NIC,"HND, SLV, CRI"
1971,CRI,"NIC, PAN"
1971,PAN,"CRI, COL"
1971,COL,"PAN, VEN, ECU, PER, BRA"
1971,VEN,"TTO, COL, GUY, BRA"
1971,GUY,"VEN, BRA"
1971,ECU,"COL, PER"
1971,PER,"COL, ECU, BRA, BOL, CHL"
1971,BRA,"COL, VEN, GUY, PER, BOL, PRY, ARG, URY"
1971,BOL,"PER, BRA, PRY, CHL, ARG"
1971,PRY,"BRA, BOL, ARG"
1971,CHL,"PER, BOL, ARG"
1971,ARG,"BRA, BOL, PRY, CHL, URY"
1971,URY,"BRA, ARG"
1971,GBR,IRL
1971,IRL,GBR
1971,NLD,"BEL, DEU"
1971,BEL,"NLD, LUX, FRA, DEU"
1971,LUX,"BEL, FRA, DEU"
1971,FRA,"BEL, LUX, CHE, ESP, DEU, ITA"
1971,CHE,"FRA, DEU, AUT, ITA"
1971,ESP,"FRA, PRT, MAR"
1971,PRT,ESP
1971,DEU,"NLD, BEL, LUX, FRA, CHE, AUT, DNK"
1971,POL,RUS
1971,AUT,"CHE, DEU, HUN, ITA"
1971,HUN,"AUT, ROU, RUS"
1971,ITA,"FRA, CHE, AUT"
1971,MLT,
1971,ALB,GRC
1971,GRC,"ALB, BGR, TUR"
1971,CYP,
1971,BGR,"GRC, ROU, TUR"
1971,ROU,"HUN, BGR, RUS"
1971,RUS,"POL, HUN, ROU, FIN, NOR, IRN, TUR, AFG, CHN, MNG, PRK, PAK"
1971,FIN,"RUS, SWE, NOR"
1971,SWE,"FIN, NOR, DNK"
1971,NOR,"RUS, FIN, SWE"
1971,DNK,"DEU, SWE"
1971,ISL,
1971,GNQ,"CMR, GAB"
1971,GMB,SEN
1971,MLI,"SEN, MRT, NER, CIV, GIN, BFA, DZA"
1971,SEN,"GMB, MLI, MRT, GIN"
1971,BEN,"NER, BFA, GHA, TGO, NGA"
1971,MRT,"MLI, SEN, MAR, DZA"
1971,NER,"MLI, BEN, BFA, NGA, TCD, DZA, LBY"
1971,CIV,"MLI, GIN, BFA, LBR, GHA"
1971,GIN,"MLI, SEN, CIV, LBR, SLE"
1971,BFA,"MLI, BEN, NER, CIV, GHA, TGO"
1971,LBR,"CIV, GIN, SLE"
1971,SLE,"GIN, LBR"
1971,GHA,"BEN, CIV, BFA, TGO"
1971,TGO,"BEN, BFA, GHA"
1971,CMR,"GNQ, NGA, GAB, CAF, TCD, COG"
1971,NGA,"BEN, NER, CMR, TCD"
1971,GAB,"GNQ, CMR, COG"
1971,CAF,"CMR, TCD, COG, COD, SDN"
1971,TCD,"NER, CMR, NGA, CAF, LBY, SDN"
1971,COG,"CMR, GAB, CAF, COD"
1971,COD,"CAF, COG, UGA, TZA, BDI, RWA, ZMB, SDN"
1971,UGA,"COD, KEN, TZA, RWA, SDN"
1971,KEN,"UGA, TZA, SOM, ETH, SDN"
1971,TZA,"COD, UGA, KEN, BDI, RWA, ZMB, MWI"
1971,BDI,"COD, TZA, RWA"
1971,RWA,"COD, UGA, TZA, BDI"
1971,SOM,"KEN, ETH"
1971,ETH,"KEN, SOM, SDN"
1971,ZMB,"COD, TZA, ZWE, MWI, BWA"
1971,ZWE,"ZMB, ZAF, BWA"
1971,MWI,"TZA, ZMB"
1971,ZAF,"ZWE, LSO, BWA, SWZ"
1971,LSO,ZAF
1971,BWA,"ZMB, ZWE, ZAF"
1971,SWZ,ZAF
1971,MDG,
1971,MUS,
1971,MAR,"ESP, MRT, DZA"
1971,DZA,"MLI, MRT, NER, MAR, TUN, LBY"
1971,TUN,"DZA, LBY"
1971,LBY,"NER, TCD, DZA, TUN, SDN, EGY"
1971,SDN,"CAF, TCD, COD, UGA, KEN, ETH, LBY, EGY"
1971,IRN,"RUS, TUR, IRQ, KWT, AFG, PAK"
