iso3c,year,corruption
AFG,1901,NA
AFG,1902,NA
AFG,1903,NA
AFG,1904,NA
AFG,1905,NA
AFG,1906,NA
AFG,1907,NA
AFG,1908,NA
AFG,1909,NA
AFG,1910,NA
AFG,1911,NA
AFG,1912,NA
AFG,1913,NA
AFG,1914,NA
AFG,1915,NA
AFG,1916,NA
AFG,1917,NA
AFG,1918,NA
AFG,1919,NA
AFG,1920,NA
AFG,1921,NA
AFG,1922,NA
AFG,1923,NA
AFG,1924,NA
AFG,1925,NA
AFG,1926,NA
AFG,1927,NA
AFG,1928,NA
AFG,1929,NA
AFG,1930,NA
AFG,1931,NA
AFG,1932,NA
AFG,1933,NA
AFG,1934,NA
AFG,1935,NA
AFG,1936,NA
AFG,1937,NA
AFG,1938,NA
AFG,1939,NA
AFG,1940,NA
AFG,1941,NA
AFG,1942,NA
AFG,1943,NA
AFG,1944,NA
AFG,1945,NA
AFG,1946,NA
AFG,1947,NA
AFG,1948,NA
AFG,1949,NA
AFG,1950,NA
AFG,1951,NA
AFG,1952,NA
AFG,1953,NA
AFG,1954,NA
AFG,1955,NA
AFG,1956,NA
AFG,1957,NA
AFG,1958,NA
AFG,1959,NA
AFG,1960,NA
AFG,1961,NA
AFG,1962,NA
AFG,1963,NA
AFG,1964,NA
AFG,1965,NA
AFG,1966,NA
AFG,1967,NA
AFG,1968,NA
AFG,1969,NA
AFG,1970,NA
AFG,1971,NA
AFG,1972,NA
AFG,1973,NA
AFG,1974,NA
AFG,1975,NA
AFG,1976,NA
AFG,1977,NA
AFG,1978,NA
AFG,1979,NA
AFG,1980,NA
AFG,1981,NA
AFG,1982,NA
AFG,1983,NA
AFG,1984,NA
AFG,1985,NA
AFG,1986,NA
AFG,1987,NA
AFG,1988,NA
AFG,1989,NA
AFG,1990,NA
AFG,1991,NA
AFG,1992,NA
AFG,1993,NA
AFG,1994,NA
AFG,1995,NA
AFG,1996,NA
AFG,1997,NA
AFG,1998,NA
AFG,1999,NA
AFG,2000,NA
AFG,2001,NA
AFG,2002,NA
AFG,2003,NA
AFG,2004,NA
AFG,2005,NA
AFG,2006,NA
AFG,2007,NA
AFG,2008,NA
AFG,2009,NA
AFG,2010,NA
AFG,2011,NA
AFG,2012,92
AFG,2013,92
AFG,2014,88
AFG,2015,89
AFG,2016,85
AFG,2017,85
AFG,2018,84
AFG,2019,84
AFG,2020,81
AFG,2021,84
AFG,2022,76
AGO,1901,NA
AGO,1902,NA
AGO,1903,NA
AGO,1904,NA
AGO,1905,NA
AGO,1906,NA
AGO,1907,NA
AGO,1908,NA
AGO,1909,NA
AGO,1910,NA
AGO,1911,NA
AGO,1912,NA
AGO,1913,NA
AGO,1914,NA
AGO,1915,NA
AGO,1916,NA
AGO,1917,NA
AGO,1918,NA
AGO,1919,NA
AGO,1920,NA
AGO,1921,NA
AGO,1922,NA
AGO,1923,NA
AGO,1924,NA
AGO,1925,NA
AGO,1926,NA
AGO,1927,NA
AGO,1928,NA
AGO,1929,NA
AGO,1930,NA
AGO,1931,NA
AGO,1932,NA
AGO,1933,NA
AGO,1934,NA
AGO,1935,NA
AGO,1936,NA
AGO,1937,NA
AGO,1938,NA
AGO,1939,NA
AGO,1940,NA
AGO,1941,NA
AGO,1942,NA
AGO,1943,NA
AGO,1944,NA
AGO,1945,NA
AGO,1946,NA
AGO,1947,NA
AGO,1948,NA
AGO,1949,NA
AGO,1950,NA
AGO,1951,NA
AGO,1952,NA
AGO,1953,NA
AGO,1954,NA
AGO,1955,NA
AGO,1956,NA
AGO,1957,NA
AGO,1958,NA
AGO,1959,NA
AGO,1960,NA
AGO,1961,NA
AGO,1962,NA
AGO,1963,NA
AGO,1964,NA
AGO,1965,NA
AGO,1966,NA
AGO,1967,NA
AGO,1968,NA
AGO,1969,NA
AGO,1970,NA
AGO,1971,NA
AGO,1972,NA
AGO,1973,NA
AGO,1974,NA
AGO,1975,NA
AGO,1976,NA
AGO,1977,NA
AGO,1978,NA
AGO,1979,NA
AGO,1980,NA
AGO,1981,NA
AGO,1982,NA
AGO,1983,NA
AGO,1984,NA
AGO,1985,NA
AGO,1986,NA
AGO,1987,NA
AGO,1988,NA
AGO,1989,NA
AGO,1990,NA
AGO,1991,NA
AGO,1992,NA
AGO,1993,NA
AGO,1994,NA
AGO,1995,NA
AGO,1996,NA
AGO,1997,NA
AGO,1998,NA
AGO,1999,NA
AGO,2000,NA
AGO,2001,NA
AGO,2002,NA
AGO,2003,NA
AGO,2004,NA
AGO,2005,NA
AGO,2006,NA
AGO,2007,NA
AGO,2008,NA
AGO,2009,NA
AGO,2010,NA
AGO,2011,NA
AGO,2012,78
AGO,2013,77
AGO,2014,81
AGO,2015,85
AGO,2016,82
AGO,2017,81
AGO,2018,81
AGO,2019,74
AGO,2020,73
AGO,2021,71
AGO,2022,67
ALB,1912,NA
ALB,1913,NA
ALB,1914,NA
ALB,1915,NA
ALB,1916,NA
ALB,1917,NA
ALB,1918,NA
ALB,1919,NA
ALB,1920,NA
ALB,1921,NA
ALB,1922,NA
ALB,1923,NA
ALB,1924,NA
ALB,1925,NA
ALB,1926,NA
ALB,1927,NA
ALB,1928,NA
ALB,1929,NA
ALB,1930,NA
ALB,1931,NA
ALB,1932,NA
ALB,1933,NA
ALB,1934,NA
ALB,1935,NA
ALB,1936,NA
ALB,1937,NA
ALB,1938,NA
ALB,1939,NA
ALB,1940,NA
ALB,1941,NA
ALB,1942,NA
ALB,1943,NA
ALB,1944,NA
ALB,1945,NA
ALB,1946,NA
ALB,1947,NA
ALB,1948,NA
ALB,1949,NA
ALB,1950,NA
ALB,1951,NA
ALB,1952,NA
ALB,1953,NA
ALB,1954,NA
ALB,1955,NA
ALB,1956,NA
ALB,1957,NA
ALB,1958,NA
ALB,1959,NA
ALB,1960,NA
ALB,1961,NA
ALB,1962,NA
ALB,1963,NA
ALB,1964,NA
ALB,1965,NA
ALB,1966,NA
ALB,1967,NA
ALB,1968,NA
ALB,1969,NA
ALB,1970,NA
ALB,1971,NA
ALB,1972,NA
ALB,1973,NA
ALB,1974,NA
ALB,1975,NA
ALB,1976,NA
ALB,1977,NA
ALB,1978,NA
ALB,1979,NA
ALB,1980,NA
ALB,1981,NA
ALB,1982,NA
ALB,1983,NA
ALB,1984,NA
ALB,1985,NA
ALB,1986,NA
ALB,1987,NA
ALB,1988,NA
ALB,1989,NA
ALB,1990,NA
ALB,1991,NA
ALB,1992,NA
ALB,1993,NA
ALB,1994,NA
ALB,1995,NA
ALB,1996,NA
ALB,1997,NA
ALB,1998,NA
ALB,1999,NA
ALB,2000,NA
ALB,2001,NA
ALB,2002,NA
ALB,2003,NA
ALB,2004,NA
ALB,2005,NA
ALB,2006,NA
ALB,2007,NA
ALB,2008,NA
ALB,2009,NA
ALB,2010,NA
ALB,2011,NA
ALB,2012,67
ALB,2013,69
ALB,2014,67
ALB,2015,64
ALB,2016,61
ALB,2017,62
ALB,2018,64
ALB,2019,65
ALB,2020,64
ALB,2021,65
ALB,2022,64
ARE,1971,NA
ARE,1972,NA
ARE,1973,NA
ARE,1974,NA
ARE,1975,NA
ARE,1976,NA
ARE,1977,NA
ARE,1978,NA
ARE,1979,NA
ARE,1980,NA
ARE,1981,NA
ARE,1982,NA
ARE,1983,NA
ARE,1984,NA
ARE,1985,NA
ARE,1986,NA
ARE,1987,NA
ARE,1988,NA
ARE,1989,NA
ARE,1990,NA
ARE,1991,NA
ARE,1992,NA
ARE,1993,NA
ARE,1994,NA
ARE,1995,NA
ARE,1996,NA
ARE,1997,NA
ARE,1998,NA
ARE,1999,NA
ARE,2000,NA
ARE,2001,NA
ARE,2002,NA
ARE,2003,NA
ARE,2004,NA
ARE,2005,NA
ARE,2006,NA
ARE,2007,NA
ARE,2008,NA
ARE,2009,NA
ARE,2010,NA
ARE,2011,NA
ARE,2012,32
ARE,2013,31
ARE,2014,30
ARE,2015,30
ARE,2016,34
ARE,2017,29
ARE,2018,30
ARE,2019,29
ARE,2020,29
ARE,2021,31
ARE,2022,33
ARG,1901,NA
ARG,1902,NA
ARG,1903,NA
ARG,1904,NA
ARG,1905,NA
ARG,1906,NA
ARG,1907,NA
ARG,1908,NA
ARG,1909,NA
ARG,1910,NA
ARG,1911,NA
ARG,1912,NA
ARG,1913,NA
ARG,1914,NA
ARG,1915,NA
ARG,1916,NA
ARG,1917,NA
ARG,1918,NA
ARG,1919,NA
ARG,1920,NA
ARG,1921,NA
ARG,1922,NA
ARG,1923,NA
ARG,1924,NA
ARG,1925,NA
ARG,1926,NA
ARG,1927,NA
ARG,1928,NA
ARG,1929,NA
ARG,1930,NA
ARG,1931,NA
ARG,1932,NA
ARG,1933,NA
ARG,1934,NA
ARG,1935,NA
ARG,1936,NA
ARG,1937,NA
ARG,1938,NA
ARG,1939,NA
ARG,1940,NA
ARG,1941,NA
ARG,1942,NA
ARG,1943,NA
ARG,1944,NA
ARG,1945,NA
ARG,1946,NA
ARG,1947,NA
ARG,1948,NA
ARG,1949,NA
ARG,1950,NA
ARG,1951,NA
