Country,Year,Out_Party_Feeling,In_Party_Feeling,Difference_Feeling,source
Australia,2019,3.454755611,7.948574667,4.493819056,Robert William Horne via email 
Austria,2017,3.634025698,8.039452438,4.40542674,Robert William Horne via email 
Brazil,2018,3.226235644,6.844902999,3.618667355,Robert William Horne via email 
Canada,2019,3.719773828,7.674283864,3.954510037,Robert William Horne via email 
Chile,2017,2.711399853,7.002120416,4.290720563,Robert William Horne via email 
Denmark,2019,4.208825345,8.801460065,4.59263472,Robert William Horne via email 
Finland,2019,3.986887903,8.455821178,4.468933275,Robert William Horne via email 
France,2017,2.723758913,7.337395135,4.613636222,Robert William Horne via email 
Germany,2017,4.650928447,8.506279256,3.855350809,Robert William Horne via email 
Great Britain,2017,2.677977851,7.318290993,4.640313141,Robert William Horne via email 
Great Britain,2019,2.819198967,7.178547739,4.359348772,Robert William Horne via email 
Greece,2015,2.055097884,7.360528302,5.305430418,Robert William Horne via email 
Greece,2019,1.548182461,7.276238313,5.728055852,Robert William Horne via email 
Hungary,2018,1.680503053,7.979960863,6.29945781,Robert William Horne via email 
Iceland,2016,3.727146109,7.476048809,3.7489027,Robert William Horne via email 
Iceland,2017,3.880437279,8.020770729,4.14033345,Robert William Horne via email 
Ireland,2016,3.244054479,7.576183539,4.332129059,Robert William Horne via email 
Israel,2020,3.126740016,8.083278336,4.95653832,Robert William Horne via email 
Italy,2018,3.076839317,8.338260484,5.261421167,Robert William Horne via email 
Lithuania,2016,3.807688469,8.365829579,4.55814111,Robert William Horne via email 
Netherlands,2021,4.429228387,8.291606588,3.862378201,Robert William Horne via email 
New Zealand,2017,4.015790527,8.442176846,4.426386319,Robert William Horne via email 
New Zealand,2020,3.622273813,7.60940575,3.987131936,Robert William Horne via email 
Norway,2017,3.953882886,8.526630887,4.572748001,Robert William Horne via email 
Portugal,2019,3.422385473,7.818763661,4.396378189,Robert William Horne via email 
Sweden,2018,3.532315433,8.632355725,5.100040292,Robert William Horne via email 
Turkey,2018,2.129741676,8.262063568,6.132321892,Robert William Horne via email 
United States of America,2016,2.745159354,7.431487589,4.686328235,Robert William Horne via email 
United States of America,2020,1.851500519,8.007983664,6.156483145,Robert William Horne via email 
