iso3c,year,Ratio.RMC.to.market.XR,country,military_spending,type,military_spending_PPP,change_nominal,change_nominal_percent,change_PPP,change_PPP_percent,nato
AFG,2000,NA,Afghanistan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
AFG,2000,NA,Afghanistan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
AGO,2000,NA,Angola,1876.3159226103608,Constant 2021 USD (m),NA,-2174.259733206332,-115.8791921448637,NA,NA,FALSE
AGO,2000,NA,Angola,583.6213335989244,Current USD (m),NA,-482.96745563392324,-82.75356431124357,NA,NA,FALSE
ALB,2000,NA,Albania,45.36250339227188,Current USD (m),NA,2.5782981791497477,5.683765194468954,NA,NA,TRUE
ALB,2000,NA,Albania,104.829489755791,Constant 2021 USD (m),NA,10.051239807248962,9.588179653134018,NA,NA,TRUE
ARE,2000,NA,United Arab Emirates,5875.833900612663,Current USD (m),NA,1642.7501701837991,27.957736688447106,NA,NA,FALSE
ARE,2000,NA,United Arab Emirates,11628.23862796814,Constant 2021 USD (m),NA,3138.107458014978,26.98695441687298,NA,NA,FALSE
ARG,2000,NA,Argentina,2984.3980967120133,Constant 2021 USD (m),NA,-148.63193847257935,-4.980298661774745,NA,NA,FALSE
ARG,2000,NA,Argentina,3266.633316658329,Current USD (m),NA,-195.09754877438718,-5.972434915773354,NA,NA,FALSE
ARM,2000,NA,Armenia,157.05601680299455,Constant 2021 USD (m),NA,2.1180449389627256,1.3485920387370611,NA,NA,FALSE
ARM,2000,NA,Armenia,68.05214206544264,Current USD (m),NA,-0.18200650051794298,-0.2674515378853404,NA,NA,FALSE
AUS,2000,NA,Australia,7273.760312610518,Current USD (m),NA,-496.4903406363619,-6.825772630637783,NA,NA,FALSE
AUS,2000,NA,Australia,15737.731960712004,Constant 2021 USD (m),NA,-43.06514073723338,-0.27364261155763786,NA,NA,FALSE
AUT,2000,NA,Austria,1925.5573981942143,Current USD (m),NA,-198.8221476743788,-10.325433449079938,NA,NA,FALSE
AUT,2000,NA,Austria,3680.436254466227,Constant 2021 USD (m),NA,86.71636242489194,2.3561435772637336,NA,NA,FALSE
AZE,2000,NA,Azerbaijan,119.57565171524008,Current USD (m),NA,-0.686522251093777,-0.5741321424939211,NA,NA,FALSE
AZE,2000,NA,Azerbaijan,221.4651670151567,Constant 2021 USD (m),NA,12.648852598594061,5.711441112420355,NA,NA,FALSE
BDI,2000,NA,Burundi,77.97636447129833,Constant 2021 USD (m),NA,-12.688740723435558,-16.272547212823767,NA,NA,FALSE
BDI,2000,NA,Burundi,42.32155221577609,Current USD (m),NA,-8.249636047449613,-19.49275396466772,NA,NA,FALSE
BEL,2000,NA,Belgium,3190.8052330937903,Current USD (m),NA,-407.6422865279551,-12.77553021099652,NA,NA,TRUE
BEL,2000,NA,Belgium,6079.335005068131,Constant 2021 USD (m),NA,-0.4276615070957632,-0.007034675778505982,NA,NA,TRUE
BEN,2000,NA,Benin,14.496275155342314,Current USD (m),NA,-3.3468592333768505,-23.08771872437474,NA,NA,FALSE
BEN,2000,NA,Benin,29.04841686759685,Constant 2021 USD (m),NA,-3.15958549474135,-10.876962793334974,NA,NA,FALSE
BFA,2000,NA,Burkina Faso,36.65853905187815,Current USD (m),NA,-5.0826364251000555,-13.86480900918405,NA,NA,FALSE
BFA,2000,NA,Burkina Faso,71.87538148642707,Constant 2021 USD (m),NA,1.3168410563184523,1.8321169628395282,NA,NA,FALSE
BGD,2000,NA,Bangladesh,740.7981600056853,Current USD (m),NA,3.385586398438477,0.457018737521229,NA,NA,FALSE
BGD,2000,NA,Bangladesh,1688.2011457769397,Constant 2021 USD (m),NA,71.28327573527281,4.222439720147625,NA,NA,FALSE
BGR,2000,NA,Bulgaria,966.2112683944492,Constant 2021 USD (m),NA,28.915517659012608,2.9926702994326955,NA,NA,TRUE
BGR,2000,NA,Bulgaria,351.3432048528692,Current USD (m),NA,-5.881334730441495,-1.6739571590417983,NA,NA,TRUE
BHR,2000,NA,Bahrain,359.04255319148933,Current USD (m),NA,-5.319148936170279,-1.4814814814815,NA,NA,FALSE
BHR,2000,NA,Bahrain,496.2134412595441,Constant 2021 USD (m),NA,-3.8019191959851355,-0.7661862577391458,NA,NA,FALSE
BIH,2000,NA,Bosnia and Herzegovina,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BIH,2000,NA,Bosnia and Herzegovina,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BLR,2000,NA,Belarus,177.32607331622273,Constant 2021 USD (m),NA,17.19825044855088,9.698658593697903,NA,NA,FALSE
BLR,2000,NA,Belarus,140.32620473339037,Current USD (m),NA,-25.577644120377272,-18.227275631784487,NA,NA,FALSE
BLZ,2000,NA,Belize,10.021724892901457,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BLZ,2000,NA,Belize,7.116125,Current USD (m),NA,NA,NA,NA,NA,FALSE
BOL,2000,NA,Bolivia,173.24542252496144,Current USD (m),NA,-3.4988195364210526,-2.019574015536796,NA,NA,FALSE
BOL,2000,NA,Bolivia,468.3438486093996,Constant 2021 USD (m),NA,1.1992358977879576,0.2560588553364613,NA,NA,FALSE
BRA,2000,NA,Brazil,11344.032534901771,Current USD (m),NA,1477.0586163933385,13.020578104381544,NA,NA,FALSE
BRA,2000,NA,Brazil,13696.8977748512,Constant 2021 USD (m),NA,1052.1918413830444,7.68197192297783,NA,NA,FALSE
BRN,2000,NA,Brunei,338.84794918865833,Constant 2021 USD (m),NA,-19.175661267874602,-5.6590754979597895,NA,NA,FALSE
BRN,2000,NA,Brunei,244.205201976844,Current USD (m),NA,-14.207975915259652,-5.8180480187342125,NA,NA,FALSE
