iso3c,year,Ratio.RMC.to.market.XR,country,military_spending,type,military_spending_PPP,change_nominal,change_nominal_percent,change_PPP,change_PPP_percent,nato
AFG,1949,NA,Afghanistan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
AFG,1949,NA,Afghanistan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
AGO,1949,NA,Angola,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
AGO,1949,NA,Angola,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ALB,1949,NA,Albania,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
ALB,1949,NA,Albania,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
ARE,1949,NA,United Arab Emirates,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
ARE,1949,NA,United Arab Emirates,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ARG,1949,NA,Argentina,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
ARG,1949,NA,Argentina,3943.359788644716,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ARM,1949,NA,Armenia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
ARM,1949,NA,Armenia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
AUS,1949,NA,Australia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
AUS,1949,NA,Australia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
AUT,1949,NA,Austria,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
AUT,1949,NA,Austria,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
AZE,1949,NA,Azerbaijan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
AZE,1949,NA,Azerbaijan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BDI,1949,NA,Burundi,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BDI,1949,NA,Burundi,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BEL,1949,NA,Belgium,182.34033662010648,Current USD (m),NA,NA,NA,NA,NA,TRUE
BEL,1949,NA,Belgium,2260.2910385597293,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
BEN,1949,NA,Benin,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BEN,1949,NA,Benin,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BFA,1949,NA,Burkina Faso,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BFA,1949,NA,Burkina Faso,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BGD,1949,NA,Bangladesh,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BGD,1949,NA,Bangladesh,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BGR,1949,NA,Bulgaria,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
BGR,1949,NA,Bulgaria,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
BHR,1949,NA,Bahrain,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BHR,1949,NA,Bahrain,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BIH,1949,NA,Bosnia and Herzegovina,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BIH,1949,NA,Bosnia and Herzegovina,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BLR,1949,NA,Belarus,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BLR,1949,NA,Belarus,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BLZ,1949,NA,Belize,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BLZ,1949,NA,Belize,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BOL,1949,NA,Bolivia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BOL,1949,NA,Bolivia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BRA,1949,NA,Brazil,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BRA,1949,NA,Brazil,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BRN,1949,NA,Brunei,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BRN,1949,NA,Brunei,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
BWA,1949,NA,Botswana,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
BWA,1949,NA,Botswana,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CAF,1949,NA,Central African Republic,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CAF,1949,NA,Central African Republic,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CAN,1949,NA,Canada,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
CAN,1949,NA,Canada,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
CHE,1949,NA,Switzerland,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CHE,1949,NA,Switzerland,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CHL,1949,NA,Chile,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CHL,1949,NA,Chile,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CHN,1949,NA,China,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CHN,1949,NA,China,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CIV,1949,NA,Cote d'Ivoire,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CIV,1949,NA,Cote d'Ivoire,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CMR,1949,NA,Cameroon,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CMR,1949,NA,Cameroon,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
COD,1949,NA,"Congo, DR",NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
COD,1949,NA,"Congo, DR",NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
COG,1949,NA,"Congo, Republic",NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
COG,1949,NA,"Congo, Republic",NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
COL,1949,NA,Colombia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
COL,1949,NA,Colombia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CPV,1949,NA,Cape Verde,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CPV,1949,NA,Cape Verde,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CRI,1949,NA,Costa Rica,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CRI,1949,NA,Costa Rica,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CUB,1949,NA,Cuba,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CUB,1949,NA,Cuba,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CYP,1949,NA,Cyprus,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
CYP,1949,NA,Cyprus,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
CZE,1949,NA,Czechia,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
CZE,1949,NA,Czechia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
DEU,1949,NA,Germany,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
DEU,1949,NA,Germany,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
DJI,1949,NA,Djibouti,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
DJI,1949,NA,Djibouti,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
DNK,1949,NA,Denmark,69.29740134744947,Current USD (m),NA,NA,NA,NA,NA,TRUE
DNK,1949,NA,Denmark,1147.9011849505398,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
DOM,1949,NA,Dominican Republic,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
DOM,1949,NA,Dominican Republic,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
DZA,1949,NA,Algeria,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
DZA,1949,NA,Algeria,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ECU,1949,NA,Ecuador,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
ECU,1949,NA,Ecuador,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
EGY,1949,NA,Egypt,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
EGY,1949,NA,Egypt,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ERI,1949,NA,Eritrea,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
ERI,1949,NA,Eritrea,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ESP,1949,NA,Spain,144.50908036706898,Current USD (m),NA,NA,NA,NA,NA,TRUE
ESP,1949,NA,Spain,2998.776305338371,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
EST,1949,NA,Estonia,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
EST,1949,NA,Estonia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
ETH,1949,NA,Ethiopia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
ETH,1949,NA,Ethiopia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
FIN,1949,NA,Finland,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
FIN,1949,NA,Finland,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
FJI,1949,NA,Fiji,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
FJI,1949,NA,Fiji,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
FRA,1949,NA,France,1211.3222395541018,Current USD (m),NA,NA,NA,NA,NA,TRUE
FRA,1949,NA,France,14603.850311098204,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
GAB,1949,NA,Gabon,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
